,licence_num,licensee_name,building_name,block_house_num,level_num,unit_num,street_name,postal_code,group,address,long_lat
400,SW16735N000,GURU'S MARKETING PTE. LTD.,na,1,1,31,JALAN PAPAN,619392,-1,1 JALAN PAPAN,"Terusan Recreation Centre, 1, Jalan Papan, Jurong East, Southwest, 619392, Singapore"
401,SW16856V000,ARCHANA SUPERMARKET PTE. LTD.,na,1,1,29,JALAN PAPAN,619392,-1,1 JALAN PAPAN,"Terusan Recreation Centre, 1, Jalan Papan, Jurong East, Southwest, 619392, Singapore"
402,SW07E27X000,KINGSMART PTE. LTD.,na,30,1,42557,PENJURU PLACE,608557,-1,30 PENJURU PLACE,"30, Penjuru Place, Jurong East, Southwest, 608560, Singapore"
403,SW10458A000,SHAFEN SUPERMARKET & TRADING (S) PTE. LTD.,TUAS LODGE 1,90,1,6,TUAS SOUTH AVENUE 9,637397,-1,90 TUAS SOUTH AVENUE 9,"Tuas South Avenue 9, Tuas South, Southwest, 637291, Singapore"
404,SW14718K000,AJMAL SUPER MART PTE. LTD.,TUAS VIEW DORMITORY,70,1,40,TUAS SOUTH AVENUE 1,637285,-1,70 TUAS SOUTH AVENUE 1,"Tuas South Avenue 1, Tuas, Southwest, 637601, Singapore"
405,SW16224E000,NAWAS GLOBAL PTE. LTD.,TUAS SOUTH DORMITORY,3,1,16,TUAS SOUTH STREET 12,636947,-1,3 TUAS SOUTH STREET 12,"3, Tuas South Street 12, Tuas South, Southwest, 636901, Singapore"
406,SW15053P000,LAI LAI SUPERMART PTE. LTD.,TUAS VIEW DORMITORY,70,1,39,TUAS SOUTH AVENUE 1,637285,-1,70 TUAS SOUTH AVENUE 1,"Tuas South Avenue 1, Tuas, Southwest, 637601, Singapore"
407,SW14824J000,SRI SURIYA'S MARKETING PTE. LTD.,na,11,1,3,TECH PARK CRESCENT,638121,-1,11 TECH PARK CRESCENT,"11, Tech Park Crescent, Tuas South, Southwest, 638118, Singapore"
408,SW09752V000,SHANMUGHA ENTERPRISES PTE. LTD,na,5,1,2,TECH PARK CRESCENT,638127,-1,5 TECH PARK CRESCENT,"5, Tech Park Crescent, Tuas South, Southwest, 638118, Singapore"
409,SW10282L000,J.I.C. ENTERPRISES PTE. LTD.,SPRINTECS INDUSTRIAL BUILDING,2,1,7,TUAS SOUTH STREET 2,637895,-1,2 TUAS SOUTH STREET 2,"Hong Yun Eating House, 2, Tuas South Street 2, Tuas South, Southwest, 637609, Singapore"
